mid,ccode,starttime,endtime,cdays
1,016,07:30:00,08:45:00,MJ
2,026,09:00:00,10:15:00,MJ
4,046,12:30:00,13:45:00,MJ
5,056,14:00:00,15:15:00,MJ
6,066,15:30:00,16:45:00,MJ
7,076,17:00:00,18:15:00,MJ
8,086,18:30:00,19:45:00,MJ
11,010,08:00:00,08:50:00,LWV
12,020,09:00:00,09:50:00,LWV
13,030,10:00:00,10:50:00,LWV
14,040,11:00:00,11:50:00,LWV
15,050,12:00:00,12:50:00,LWV
16,060,13:00:00,13:50:00,LWV
17,070,14:00:00,14:50:00,LWV
18,080,15:00:00,15:50:00,LWV
19,090,16:00:00,16:50:00,LWV
20,100,17:00:00,17:50:00,LWV
